strategy_name,parameters,return,sharpe,sortino,drawdown,robustness,walk_forward_score,composite_score,symbol,start_date,end_date,timestamp
EMA Price Crossover (EMA 50),{'ema_period': 50},1934.2629234464137,1.2247723517768478,2.1373624945378165,66.14542035558854,92.47957140838969,66.66666666666666,70.12470820462646,SOL-USD,2021-06-15,2026-06-15,2026-06-15T11:16:21.507209
EMA Crossover (EMA 50 vs EMA 200),"{'fast_period': 50, 'slow_period': 200}",545.526334356674,0.8864006116144008,1.4435395124011032,70.80422592070953,97.9144407036542,33.33333333333333,67.79116907131613,SOL-USD,2021-06-15,2026-06-15,2026-06-15T11:16:33.342249
SMA Crossover (SMA 20 vs SMA 50),"{'fast_period': 20, 'slow_period': 50}",336.7509988899972,0.7821907536856091,1.293390671776894,76.12068420061544,82.70648572092499,33.33333333333333,62.72573111860187,SOL-USD,2021-08-03,2026-06-15,2026-06-15T11:16:43.989273
MACD Strategy (MACD 12/26/9),"{'fast_period': 12, 'slow_period': 26, 'signal_period': 9}",711.0791356004586,0.9367898351016347,1.5366152946494112,84.01152742742755,76.59064106422268,66.66666666666666,60.56051192333188,SOL-USD,2021-06-15,2026-06-15,2026-06-15T11:16:50.201642
"Supertrend (ATR 10, Mult 3.0)","{'atr_period': 10, 'multiplier': 3.0}",1209.9613259728635,1.0603457454212184,1.74566615161409,63.85075131388067,86.57196735458066,33.33333333333333,68.42067727858742,SOL-USD,2021-06-15,2026-06-15,2026-06-15T11:17:01.984395
Donchian Breakout (Lookback 20),{'lookback_period': 20},469.5372851559403,0.8487978121334024,1.4304642788561373,79.9941027510101,80.15215109938264,33.33333333333333,61.69055661301335,SOL-USD,2021-07-05,2026-06-15,2026-06-15T11:17:10.651885
"RSI Strategy (RSI 14, OS 30, OB 70)","{'rsi_period': 14, 'oversold': 30, 'overbought': 70}",-56.05218041928867,0.09504679019101539,0.13807170426882182,79.61024444077684,0.0,66.66666666666666,5.731084157745893,SOL-USD,2021-06-28,2026-06-15,2026-06-15T11:17:15.174282
"Bollinger Bands (Period 20, Std 2.0)","{'period': 20, 'std_dev': 2.0}",-71.33893362397016,0.015153275661161886,0.021506826102440164,89.59951876836357,0.0,66.66666666666666,2.701142145650188,SOL-USD,2021-07-04,2026-06-15,2026-06-15T11:17:24.518134
"ATR Breakout (ATR 14, Mult 1.5)","{'atr_period': 14, 'multiplier': 1.5}",624.5938654510838,0.915895255473115,1.5458410459652856,65.60381469442538,76.76149409127781,33.33333333333333,65.05731351446998,SOL-USD,2021-06-28,2026-06-15,2026-06-15T11:17:34.337351
EMA Price Crossover (EMA 50),{'ema_period': 50},93.14742414520298,0.5231519203810595,0.7764187719930723,57.029593694113224,89.71831160364854,66.66666666666666,64.77554181722951,BNB-USD,2021-06-15,2026-06-15,2026-06-15T11:17:41.152762
EMA Crossover (EMA 50 vs EMA 200),"{'fast_period': 50, 'slow_period': 200}",120.58721980205003,0.5739771363809959,0.8596764391655134,53.88156041132166,93.70657773330464,66.66666666666666,69.09743968637048,BNB-USD,2021-06-15,2026-06-15,2026-06-15T11:17:53.030982
SMA Crossover (SMA 20 vs SMA 50),"{'fast_period': 20, 'slow_period': 50}",146.18460645381197,0.6362344862897534,0.96305733298825,47.845908385491484,85.67828355987058,66.66666666666666,69.41574285753293,BNB-USD,2021-08-03,2026-06-15,2026-06-15T11:18:05.527759
MACD Strategy (MACD 12/26/9),"{'fast_period': 12, 'slow_period': 26, 'signal_period': 9}",159.48746351888403,0.6690333637782833,1.0188121152659502,47.047825725459234,89.43503786347907,66.66666666666666,70.58527356651956,BNB-USD,2021-06-15,2026-06-15,2026-06-15T11:18:11.741663
"Supertrend (ATR 10, Mult 3.0)","{'atr_period': 10, 'multiplier': 3.0}",47.825388372470165,0.39795458789173266,0.5751446272183413,46.68356242429201,63.20777989478583,66.66666666666666,45.3625818891936,BNB-USD,2021-06-15,2026-06-15,2026-06-15T11:18:22.158255
Donchian Breakout (Lookback 20),{'lookback_period': 20},57.55239740926943,0.4287026256959927,0.6346656519289609,58.16040385550152,69.83406822736283,33.33333333333333,47.42806927948144,BNB-USD,2021-07-05,2026-06-15,2026-06-15T11:18:28.924446
"RSI Strategy (RSI 14, OS 30, OB 70)","{'rsi_period': 14, 'oversold': 30, 'overbought': 70}",10.366276606578339,0.245213567666545,0.3432682273019613,41.14993637805196,0.0,33.33333333333333,19.975469835566397,BNB-USD,2021-06-28,2026-06-15,2026-06-15T11:18:32.879377
"Bollinger Bands (Period 20, Std 2.0)","{'period': 20, 'std_dev': 2.0}",21.499939126626433,0.3056469608951023,0.4253549371733104,61.74275144284089,29.829791825675827,66.66666666666666,25.09289560471154,BNB-USD,2021-07-04,2026-06-15,2026-06-15T11:18:42.611604
"ATR Breakout (ATR 14, Mult 1.5)","{'atr_period': 14, 'multiplier': 1.5}",129.98627549534604,0.6070025170262159,0.9126490064724329,48.85180202191821,93.83929688220226,33.33333333333333,70.60159231780234,BNB-USD,2021-06-28,2026-06-15,2026-06-15T11:18:54.380238
